wavelength	Abs.
622	-0.067358
623	-0.067239429
624	-0.067228714
625	-0.06727
626	-0.067208143
627	-0.067024429
628	-0.066851857
629	-0.066754143
630	-0.066677286
631	-0.066583714
632	-0.066501857
633	-0.066448143
634	-0.066367857
635	-0.066214714
636	-0.066056571
637	-0.065976714
638	-0.065923714
639	-0.065796714
640	-0.065623143
641	-0.065509714
642	-0.065457714
643	-0.065372429
644	-0.065244143
645	-0.065174857
646	-0.065209
647	-0.065271429
648	-0.065300857
649	-0.065304857
650	-0.065306429
651	-0.065342714
652	-0.065427571
653	-0.065419714
654	-0.065152286
655	-0.064723286
656	-0.064360714
657	-0.064133714
658	-0.063993286
659	-0.063917143
660	-0.063915571
661	-0.063941286
662	-0.06386
663	-0.063617571
664	-0.063345857
665	-0.063147143
666	-0.062954429
667	-0.062697
668	-0.062436857
669	-0.062259
670	-0.062127429
671	-0.061964143
672	-0.061785571
673	-0.061660857
674	-0.061582429
675	-0.061479571
676	-0.061345714
677	-0.061256
678	-0.061234571
679	-0.061211429
680	-0.061138714
681	-0.061049714
682	-0.060984571
683	-0.060965571
684	-0.061003286
685	-0.061071571
686	-0.061134
687	-0.061168143
688	-0.061161
689	-0.061131571
690	-0.061121143
691	-0.061142143
692	-0.061179571
693	-0.061210714
694	-0.061202286
695	-0.061149
696	-0.061098571
697	-0.061093143
698	-0.061144429
699	-0.061244
700	-0.061323
701	-0.061316857
702	-0.061272857
703	-0.061274
704	-0.061318857
705	-0.061361571
706	-0.061360143
707	-0.061276
708	-0.061124429
709	-0.060978143
710	-0.060868429
711	-0.060759571
712	-0.060623143
713	-0.060456714
714	-0.060264571
715	-0.060058286
716	-0.059846143
717	-0.059617286
718	-0.059361286
719	-0.059123286
720	-0.058959
721	-0.058791286
722	-0.058476429
723	-0.058087143
724	-0.057871286
725	-0.057857429
726	-0.057810571
727	-0.057685286
728	-0.057772571
729	-0.058232
730	-0.058834857
731	-0.059362
732	-0.059824286
