trt,analyte,val,sd,facet,type
High Temp. Ash,SiO[4],22.13,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,NO[2],1.17,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,NO[2]+NO[3],23.79,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,NH[4],0.5,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Control,DOC,54.511124667060344,0.9134749166264877,bold(Organic~carbon~(µmol~L^-1)),bold(Leachate)
Low Temp. Ash,DOC,231.7509004514717,0.8304317423877088,bold(Organic~carbon~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,DOC,293.5309335458654,0.4807762719086555,bold(Organic~carbon~(µmol~L^-1)),bold(Leachate)
Thomas Fire Ash,DOC,2985.9845119102893,15.078892164409144,bold(Organic~carbon~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,PO[4],0.05,0.07,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
High Temp. Ash,SiO[4],1.65,0.42,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
High Temp. Ash,NO[2],0.16,0.02,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
High Temp. Ash,NO[2]+NO[3],0.96,0.03,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
High Temp. Ash,NH[4],0.05,0.07,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Low Temp. Ash,PO[4],0.03,0.04,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Low Temp. Ash,SiO[4],2.8,0.34,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Low Temp. Ash,NO[2],0.18,0.04,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Low Temp. Ash,NO[2]+NO[3],1.29,0.01,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Low Temp. Ash,NH[4],0,0,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,PO[4],0.02,0.02,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,SiO[4],0.08,0.11,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,NO[2],0.09,0.06,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,NO[2]+NO[3],0.22,0.07,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,NH[4],0.09,0.1,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Mn,0.17356841867622347,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Fe,0.13215576591676617,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Co,0.01403990437150805,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Ni,0.1991308478626683,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Cu,0.3792155787754459,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Zn,0.02176038599340197,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Cd,2.2629885316936038e-4,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Thomas Fire Ash,Pb,1.970445897896333e-4,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Mn,1.2200236972075882,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Fe,2.7394363584935046,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
