trt,ex,em,eems,abs
High Temp. Ash,250,300,0.297640091,0.27496419042857156
High Temp. Ash,250,302,0.13233118200000005,0.27496419042857156
High Temp. Ash,250,304,0.282994838,0.27496419042857156
High Temp. Ash,250,306,0.415666894,0.27496419042857156
High Temp. Ash,250,308,0.5157755489999999,0.27496419042857156
High Temp. Ash,250,310,0.17594663899999996,0.27496419042857156
High Temp. Ash,250,312,0.22558634,0.27496419042857156
High Temp. Ash,250,314,0.3287981470000001,0.27496419042857156
High Temp. Ash,250,316,0.22744986099999998,0.27496419042857156
High Temp. Ash,250,318,0.38595194700000013,0.27496419042857156
High Temp. Ash,250,320,0.4804095709999999,0.27496419042857156
High Temp. Ash,250,322,0.5994806210000001,0.27496419042857156
High Temp. Ash,250,324,0.430376411,0.27496419042857156
High Temp. Ash,250,326,0.675496834,0.27496419042857156
High Temp. Ash,250,328,0.5419011839999999,0.27496419042857156
High Temp. Ash,250,330,0.687818051,0.27496419042857156
High Temp. Ash,250,332,0.589105333,0.27496419042857156
High Temp. Ash,250,334,0.5655042209999999,0.27496419042857156
High Temp. Ash,250,336,0.802874275,0.27496419042857156
High Temp. Ash,250,338,0.8419263219999997,0.27496419042857156
High Temp. Ash,250,340,1.169382453,0.27496419042857156
High Temp. Ash,250,342,1.135100119,0.27496419042857156
High Temp. Ash,250,344,0.9833660319999997,0.27496419042857156
High Temp. Ash,250,346,1.312293954,0.27496419042857156
High Temp. Ash,250,348,1.639954922,0.27496419042857156
High Temp. Ash,250,350,2.0741561760000002,0.27496419042857156
High Temp. Ash,250,352,2.415706204,0.27496419042857156
High Temp. Ash,250,354,2.286463127,0.27496419042857156
High Temp. Ash,250,356,2.635858674,0.27496419042857156
High Temp. Ash,250,358,3.1068677019999997,0.27496419042857156
High Temp. Ash,250,360,3.2716120900000005,0.27496419042857156
High Temp. Ash,250,362,3.1592763550000003,0.27496419042857156
High Temp. Ash,250,364,3.828192847,0.27496419042857156
High Temp. Ash,250,366,4.049651696,0.27496419042857156
High Temp. Ash,250,368,4.542516046,0.27496419042857156
High Temp. Ash,250,370,4.373356871,0.27496419042857156
High Temp. Ash,250,372,5.052708052,0.27496419042857156
High Temp. Ash,250,374,4.84639415,0.27496419042857156
High Temp. Ash,250,376,5.242774896,0.27496419042857156
High Temp. Ash,250,378,5.4720800160000005,0.27496419042857156
High Temp. Ash,250,380,5.583295567,0.27496419042857156
High Temp. Ash,250,382,5.676991385999999,0.27496419042857156
High Temp. Ash,250,384,5.533971106000001,0.27496419042857156
High Temp. Ash,250,386,5.601154187,0.27496419042857156
High Temp. Ash,250,388,6.23203806,0.27496419042857156
High Temp. Ash,250,390,6.169258614,0.27496419042857156
High Temp. Ash,250,392,5.8881308379999995,0.27496419042857156
High Temp. Ash,250,394,6.467028119999999,0.27496419042857156
High Temp. Ash,250,396,5.930189249,0.27496419042857156
High Temp. Ash,250,398,6.605009703,0.27496419042857156
High Temp. Ash,250,400,6.508063561,0.27496419042857156
High Temp. Ash,250,402,6.812493558000001,0.27496419042857156
High Temp. Ash,250,404,6.590302426,0.27496419042857156
High Temp. Ash,250,406,7.04420477,0.27496419042857156
High Temp. Ash,250,408,7.134903900000001,0.27496419042857156
High Temp. Ash,250,410,6.616300429,0.27496419042857156
High Temp. Ash,250,412,6.95783473,0.27496419042857156
High Temp. Ash,250,414,6.846743702,0.27496419042857156
High Temp. Ash,250,416,7.269383453,0.27496419042857156
High Temp. Ash,250,418,7.371142175,0.27496419042857156
High Temp. Ash,250,420,6.873106212,0.27496419042857156
High Temp. Ash,250,422,6.932034131,0.27496419042857156
High Temp. Ash,250,424,6.962402052000001,0.27496419042857156
High Temp. Ash,250,426,7.044598943,0.27496419042857156
High Temp. Ash,250,428,6.948119147,0.27496419042857156
High Temp. Ash,250,430,6.761836786999999,0.27496419042857156
High Temp. Ash,250,432,6.755039383000001,0.27496419042857156
High Temp. Ash,250,434,6.596147541999999,0.27496419042857156
High Temp. Ash,250,436,6.4060021659999995,0.27496419042857156
High Temp. Ash,250,438,6.384220212000001,0.27496419042857156
High Temp. Ash,250,440,5.3381317070000005,0.27496419042857156
High Temp. Ash,250,442,6.212925827,0.27496419042857156
High Temp. Ash,250,444,5.825158221000001,0.27496419042857156
High Temp. Ash,250,446,5.380761782,0.27496419042857156
High Temp. Ash,250,448,5.085125638999999,0.27496419042857156
High Temp. Ash,250,450,5.166787037,0.27496419042857156
High Temp. Ash,250,452,5.088344877999999,0.27496419042857156
High Temp. Ash,250,454,4.589134379,0.27496419042857156
High Temp. Ash,250,456,4.448626128999999,0.27496419042857156
High Temp. Ash,250,458,4.519739146,0.27496419042857156
High Temp. Ash,250,460,4.062096081,0.27496419042857156
High Temp. Ash,250,462,4.348755778,0.27496419042857156
High Temp. Ash,250,464,4.32107602,0.27496419042857156
High Temp. Ash,250,466,3.8187650960000004,0.27496419042857156
High Temp. Ash,250,468,3.6654830369999996,0.27496419042857156
High Temp. Ash,250,470,3.4404808730000003,0.27496419042857156
High Temp. Ash,250,472,3.285772246,0.27496419042857156
High Temp. Ash,250,474,3.080508487,0.27496419042857156
High Temp. Ash,250,476,2.7601212440000005,0.27496419042857156
High Temp. Ash,250,478,2.9393869739999996,0.27496419042857156
High Temp. Ash,250,480,NA,0.27496419042857156
High Temp. Ash,250,482,NA,0.27496419042857156
High Temp. Ash,250,484,NA,0.27496419042857156
High Temp. Ash,250,486,NA,0.27496419042857156
High Temp. Ash,250,488,NA,0.27496419042857156
High Temp. Ash,250,490,NA,0.27496419042857156
High Temp. Ash,250,492,NA,0.27496419042857156
High Temp. Ash,250,494,NA,0.27496419042857156
High Temp. Ash,250,496,NA,0.27496419042857156
High Temp. Ash,250,498,NA,0.27496419042857156
High Temp. Ash,250,500,NA,0.27496419042857156
High Temp. Ash,250,502,NA,0.27496419042857156
High Temp. Ash,250,504,NA,0.27496419042857156
High Temp. Ash,250,506,NA,0.27496419042857156
High Temp. Ash,250,508,NA,0.27496419042857156
High Temp. Ash,250,510,NA,0.27496419042857156
High Temp. Ash,250,512,NA,0.27496419042857156
High Temp. Ash,250,514,NA,0.27496419042857156
High Temp. Ash,250,516,NA,0.27496419042857156
High Temp. Ash,250,518,NA,0.27496419042857156
High Temp. Ash,250,520,NA,0.27496419042857156
High Temp. Ash,250,522,NA,0.27496419042857156
High Temp. Ash,250,524,0.9130608370000002,0.27496419042857156
High Temp. Ash,250,526,0.9178223819999998,0.27496419042857156
High Temp. Ash,250,528,NA,0.27496419042857156
High Temp. Ash,250,530,NA,0.27496419042857156
High Temp. Ash,250,532,NA,0.27496419042857156
High Temp. Ash,250,534,NA,0.27496419042857156
High Temp. Ash,250,536,NA,0.27496419042857156
High Temp. Ash,250,538,NA,0.27496419042857156
High Temp. Ash,250,540,NA,0.27496419042857156
High Temp. Ash,250,542,NA,0.27496419042857156
High Temp. Ash,250,544,NA,0.27496419042857156
