exp,influx_id,trt,ash,amend,phyto,biomass,composite_z,rate,val,sd,biomass2,flabel
P1.5,5,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Division~(d^-1)),0.3681274376705201,0,bold(Biomass~index~'<'~-1),4
P1.5,5,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Grazing~(d^-1)),0,0,bold(Biomass~index~'<'~-1),5
P1.5,5,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Accumulation~(d^-1)),0.3681274376705201,0,bold(Biomass~index~'<'~-1),6
P1.5,5,Control,Control,Control,Picoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Division~(d^-1)),0.7020203056228695,0.22164242678899482,bold(Biomass~index~'<'~-1),4
P1.5,5,Control,Control,Control,Picoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Grazing~(d^-1)),0.5490509608414424,0.22164242678899485,bold(Biomass~index~'<'~-1),5
P1.5,5,Control,Control,Control,Picoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Accumulation~(d^-1)),0.1529693447814271,3.204937810639273e-17,bold(Biomass~index~'<'~-1),6
P1.5,5,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Division~(d^-1)),1.406879845322455,0.8350931430012365,bold(Biomass~index~'<'~-1),7
P1.5,5,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Grazing~(d^-1)),0.5905000243385616,0.8350931430012366,bold(Biomass~index~'<'~-1),8
P1.5,5,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Accumulation~(d^-1)),0.8163798209838933,1.1102230246251565e-16,bold(Biomass~index~'<'~-1),9
P1.5,5,Control,Control,Control,Nanoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Division~(d^-1)),0.880468992492687,0.22040973163086836,bold(Biomass~index~'<'~-1),7
P1.5,5,Control,Control,Control,Nanoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Grazing~(d^-1)),0.3876618742293746,0.22040973163086836,bold(Biomass~index~'<'~-1),8
P1.5,5,Control,Control,Control,Nanoeukaryotes,bold(Lower~biomass~index),-1.1754462634221874,bold(Accumulation~(d^-1)),0.4928071182633124,5.551115123125783e-17,bold(Biomass~index~'<'~-1),9
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.5313158927751735,bold(Division~(d^-1)),0.3786642488503269,0.1529025905537307,bold(Biomass~index~'>'~1),1
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.5313158927751735,bold(Grazing~(d^-1)),0.10811845864153315,0.15290259055373073,bold(Biomass~index~'>'~1),2
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.5313158927751735,bold(Accumulation~(d^-1)),0.27054579020879377,0,bold(Biomass~index~'>'~1),3
PB2,6,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),1.5313158927751735,bold(Division~(d^-1)),0.3446620656926632,0.06522818229874941,bold(Biomass~index~'>'~1),1
PB2,6,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),1.5313158927751735,bold(Grazing~(d^-1)),0.05648309882072064,0.06522818229874941,bold(Biomass~index~'>'~1),2
PB2,6,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),1.5313158927751735,bold(Accumulation~(d^-1)),0.2881789668719426,0,bold(Biomass~index~'>'~1),3
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Division~(d^-1)),0.797097796747129,0.2929329175359281,bold(Biomass~index~'>'~1),4
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Grazing~(d^-1)),0.20713485242241447,0.2929329175359281,bold(Biomass~index~'>'~1),5
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Accumulation~(d^-1)),0.5899629443247145,0,bold(Biomass~index~'>'~1),6
PB2,6,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Division~(d^-1)),0.7602517161445373,0.16731508823339764,bold(Biomass~index~'>'~1),4
PB2,6,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Grazing~(d^-1)),0.1892721695587996,0.16731508823339764,bold(Biomass~index~'>'~1),5
PB2,6,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Accumulation~(d^-1)),0.5709795465857377,9.064933036736789e-17,bold(Biomass~index~'>'~1),6
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Division~(d^-1)),0.5229395722169526,0.2930296237963161,bold(Biomass~index~'>'~1),7
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Grazing~(d^-1)),0.207203234074918,0.2930296237963161,bold(Biomass~index~'>'~1),8
PB2,6,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Accumulation~(d^-1)),0.31573633814203467,0,bold(Biomass~index~'>'~1),9
PB2,6,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Division~(d^-1)),0.5439539889951717,0.1406056148842626,bold(Biomass~index~'>'~1),7
PB2,6,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Grazing~(d^-1)),0.16539633380693156,0.1406056148842626,bold(Biomass~index~'>'~1),8
PB2,6,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),1.5313158927751735,bold(Accumulation~(d^-1)),0.37855765518824,4.5324665183683945e-17,bold(Biomass~index~'>'~1),9
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),2.691564305127054,bold(Division~(d^-1)),1.0403789643049088,0.32051610584340207,bold(Biomass~index~'>'~1),1
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),2.691564305127054,bold(Grazing~(d^-1)),0.36603204824511065,0.32051610584340207,bold(Biomass~index~'>'~1),2
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),2.691564305127054,bold(Accumulation~(d^-1)),0.6743469160597981,0,bold(Biomass~index~'>'~1),3
P2.5,7,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),2.691564305127054,bold(Division~(d^-1)),1.194630005721545,0.10900408897836864,bold(Biomass~index~'>'~1),1
P2.5,7,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),2.691564305127054,bold(Grazing~(d^-1)),0.6580037360108212,0.10900408897836862,bold(Biomass~index~'>'~1),2
P2.5,7,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),2.691564305127054,bold(Accumulation~(d^-1)),0.5366262697107238,9.064933036736789e-17,bold(Biomass~index~'>'~1),3
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Division~(d^-1)),0.9002666136247321,0.05350409273138542,bold(Biomass~index~'>'~1),4
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Grazing~(d^-1)),0.22026790590829307,0.05350409273138536,bold(Biomass~index~'>'~1),5
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Accumulation~(d^-1)),0.6799987077164391,0,bold(Biomass~index~'>'~1),6
P2.5,7,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Division~(d^-1)),1.3444363538447228,0.286752501946091,bold(Biomass~index~'>'~1),4
P2.5,7,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Grazing~(d^-1)),1.1381456069377718,0.28675250194609103,bold(Biomass~index~'>'~1),5
P2.5,7,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Accumulation~(d^-1)),0.2062907469069511,6.409875621278546e-17,bold(Biomass~index~'>'~1),6
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Division~(d^-1)),1.033078477599235,0.33936508002281823,bold(Biomass~index~'>'~1),7
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Grazing~(d^-1)),0.6906715054582074,0.33936508002281823,bold(Biomass~index~'>'~1),8
P2.5,7,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Accumulation~(d^-1)),0.34240697214102755,0,bold(Biomass~index~'>'~1),9
P2.5,7,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Division~(d^-1)),1.07720239698494,0.336003975671334,bold(Biomass~index~'>'~1),7
P2.5,7,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Grazing~(d^-1)),0.8757203424519096,0.336003975671334,bold(Biomass~index~'>'~1),8
P2.5,7,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),2.691564305127054,bold(Accumulation~(d^-1)),0.20148205453303047,0,bold(Biomass~index~'>'~1),9
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.7355859192040868,0.1415879864964199,bold(Biomass~index~'>'~1),1
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.08995725660862376,0.14158798649641993,bold(Biomass~index~'>'~1),2
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.645628662595463,0,bold(Biomass~index~'>'~1),3
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.6369822595037186,0.05678106811361385,bold(Biomass~index~'>'~1),1
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.03278256496026944,0.056781068113613865,bold(Biomass~index~'>'~1),2
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.6041996945434491,0,bold(Biomass~index~'>'~1),3
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.6145311996011167,0.07688400100862747,bold(Biomass~index~'>'~1),1
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.04438899867870653,0.07688400100862747,bold(Biomass~index~'>'~1),2
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.5701422009224102,0,bold(Biomass~index~'>'~1),3
PB3,8,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),1.0210541003171303,0.08396724914754312,bold(Biomass~index~'>'~1),1
PB3,8,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.5704107183559362,0.08396724914754315,bold(Biomass~index~'>'~1),2
PB3,8,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.4506433819611941,6.409875621278546e-17,bold(Biomass~index~'>'~1),3
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.8453526403276241,0.2272349881108244,bold(Biomass~index~'>'~1),4
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.13119418155508591,0.22723498811082443,bold(Biomass~index~'>'~1),5
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.7141584587725383,0,bold(Biomass~index~'>'~1),6
