stn,exp,lat,lon,cluster,composite_z,trt,tp,dt,days,hours,mean_cells_ml,sd_cells_ml,mean_gr_d,sd_gr_d,fgC_cell,fgN_cell,interp_fgC_cell,boc,interp_bocdoc,mean_toc,sd_toc,doc,toc_unc,mean_toc_unc,boc_rate,doc_rate,doc_rem,doc_bdl,bge,control_doc,amend_doc,amend_doc_bioav,bge_inclusion
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Control,0,2023-08-06T16:00:00Z,0,0,198038,14662,0.671129495721994,0.02607666137238745,63.30270830711328,6.892129188466773,63.30270830711328,1.0446951456436748,FALSE,71.04260958205913,0.5170849013405013,69.99791443641546,0.29853910698282954,0.4,1.0995556531540236,1.6316245597123429,3.8339959214702617,FALSE,0.6739023671891017,69.99791443641546,0,NA,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Control,1,2023-08-07T15:30:00Z,0.98,23.52,481016,140278,0.671129495721994,0.02607666137238745,NA,NA,57.55147838389273,2.306931827192212,TRUE,70.5940876656473,0.5284181858145358,68.28715583845508,0.305082381824716,0.4,1.0995556531540236,1.6316245597123429,3.8339959214702617,FALSE,0.6739023671891017,68.28715583845508,0,NA,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Control,2,2023-08-08T15:30:00Z,1.98,47.519999999999996,748418,141251,0.671129495721994,0.02607666137238745,51.6778818665611,8.576329331046313,51.6778818665611,3.223054749233994,FALSE,69.98960244648318,0.8320740702973669,66.76654769724918,0.4803981884718924,0.4,1.0995556531540236,1.6316245597123429,3.8339959214702617,FALSE,0.6739023671891017,66.76654769724918,0,NA,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Control,3,2023-08-09T15:30:00Z,2.98,71.52,774217,166020,0.671129495721994,0.02607666137238745,NA,NA,47.252836886339985,3.04866246796929,TRUE,69.46768603465851,0.16395354561060863,66.41902356668922,0.09465862369287847,0.4,1.0995556531540236,1.6316245597123429,3.8339959214702617,FALSE,0.6739023671891017,66.41902356668922,0,NA,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Control,4,2023-08-10T15:00:00Z,3.96,95.03999999999999,850356,146304,0.671129495721994,0.02607666137238745,NA,NA,42.9199803432068,3.0414385670606636,TRUE,69.22609582059124,0.6686859784354763,66.18465725353057,0.38606602965305054,0.4,1.0995556531540236,1.6316245597123429,3.8339959214702617,FALSE,0.6739023671891017,66.18465725353057,0,NA,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Control,5,2023-08-11T15:30:00Z,4.98,119.52000000000001,812568,68694,0.671129495721994,0.02607666137238745,38.402746925897745,6.174559309654149,38.402746925897745,2.6004036053402397,FALSE,68.76432212028543,0.906955138225035,66.1639185149452,0.5236307931971382,0.4,1.0995556531540236,1.6316245597123429,3.8339959214702617,FALSE,0.6739023671891017,66.1639185149452,0,NA,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Thomas Fire Ash,0,2023-08-06T16:00:00Z,0,0,217324,21002,0.7321961883155046,0.02661073922565592,63.30270830711328,6.892129188466773,63.30270830711328,1.1464331483445904,FALSE,74.88970438328236,0.9806664456580982,73.74327123493778,0.5661880363859365,0.4,1.1890024047568064,1.9217078165594332,4.676842051109475,FALSE,0.6187217403765156,69.99791443641546,3.745356798522323,22.503760655640225,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Thomas Fire Ash,1,2023-08-07T15:30:00Z,0.98,23.52,518948,171632,0.7321961883155046,0.02661073922565592,NA,NA,54.408508868723985,2.3529322383672144,TRUE,74.35275229357799,0.7698921007245847,71.99982005521078,0.4444974116003055,0.4,1.1890024047568064,1.9217078165594332,4.676842051109475,FALSE,0.6187217403765156,68.28715583845508,3.712664216755698,22.503760655640225,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Thomas Fire Ash,2,2023-08-08T15:30:00Z,1.98,47.519999999999996,926887,221163,0.7321961883155046,0.02661073922565592,45.32507114441152,7.310495345872827,45.32507114441152,3.50093493481918,FALSE,73.4401630988787,0.1440991227149519,69.93922816405951,0.0831956672894664,0.4,1.1890024047568064,1.9217078165594332,4.676842051109475,FALSE,0.6187217403765156,66.76654769724918,3.172680466810334,22.503760655640225,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Thomas Fire Ash,3,2023-08-09T15:30:00Z,2.98,71.52,1039152,268514,0.7321961883155046,0.02661073922565592,NA,NA,43.20452341978329,3.7413389100595538,TRUE,72.30560652395515,0.4980236011968777,68.5642676138956,0.2875340602138042,0.4,1.1890024047568064,1.9217078165594332,4.676842051109475,FALSE,0.6187217403765156,66.41902356668922,2.1452440472063756,22.503760655640225,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Thomas Fire Ash,4,2023-08-10T15:00:00Z,3.96,95.03999999999999,988143,118174,0.7321961883155046,0.02661073922565592,NA,NA,41.12815377275149,3.3867081044556646,TRUE,71.85096839959225,0.41718561329579196,68.46426029513658,0.2408622261383646,0.4,1.1890024047568064,1.9217078165594332,4.676842051109475,FALSE,0.6187217403765156,66.18465725353057,2.279603041606009,22.503760655640225,NA
