stn,date,lat,lon,exp,chl_ap676lh,gamma_cp,bbb_660,poc_cp_660,nano_syn,z_chl_ap676lh,z_gamma_cp,z_bbb_660,z_poc_cp_660,z_nano_syn,composite_z,biomass,acs_n,cells_n
4,8/2/23,33.54503,-118.402,PB1,0.17814001881403868,0.6846397411915163,0.0026202873849949606,50.3671725025044,0.04712644027604658,-0.8100877781491919,0.1562463525816509,1.910012717415808,-1.3228794408214735,-0.5775609477742999,-0.06670814897320651,Lower,332,2
5,8/3/23,33.93508,-119.6033,P1.5,0.1285249995002834,0.7167783094705478,0.004698158595510556,61.93319537764153,0.03393417630705767,-0.8606274600681687,-0.014313741076748595,0.6061393566554135,-1.0729387955845482,-0.8118281659502721,-1.341740640074052,Lower,163,2
6,8/4/23,33.87091,-120.0511,PB2,1.41423948224861,0.6935847345423387,0.005406416617500601,110.35743894747384,0.10820185682024358,0.44904855932032384,0.1087750747560784,0.1617043200929113,-0.026495535561994812,0.5070116446466494,0.6930324186073187,Higher,371,2
7,8/5/23,33.89884,-119.9588,P2.5,2.161174107368887,0.6978513057931134,0.004577226029828398,128.7041576639753,0.033101067986454805,1.2099036167199124,0.0861322866326526,0.6820250756756248,0.36997529658897355,-0.8266224400161698,2.3480362756171633,Higher,409,2
8,8/6/23,34.37358,-119.9131,PB3,0.4677302550804264,0.6634111632010081,0.0035174462182606227,125.14689764561318,0.09098867137574133,-0.5151005216656105,0.26890688614555674,1.3470415875661828,0.2931032487067056,0.20134120934381955,1.3939512007528347,Higher,915,4
9,8/7/23,34.37036,-120.4748,P3.5,1.50280075001503,0.5176261899057696,0.004710475305176047,194.39079660147704,0.2157390510948905,0.5392603211046292,1.0425909682534131,0.5984105669480527,1.7894572651727056,2.4166489451426485,3.969719121478801,Higher,391,2
10,8/8/23,34.80124,-121.3475,P4,1.8277375597078471,0.5269233588107333,0.005365993761195851,144.13900474313266,0.0745054945054945,0.8702528961914473,0.9932506869620664,0.18706984093697304,0.7035208618835712,-0.09136578933149633,2.754094285974058,Higher,458,1
11,8/9/23,35.08734,-120.916,P5,3.4495493645430253,0.413375815621154,0.00654108925358206,183.2516615410178,0.17173055951681904,2.522289998716314,1.5958500135080285,-0.5503077699168819,1.548741624675632,1.635149505596059,5.116573866983092,Higher,326,2
12,8/13/23,35.21268,-121.3475,P12,0.6827433171756634,0.6210495292666771,0.006643823663237939,110.91461720126222,0.11393437724121444,-0.29608031534462265,0.4937210156559975,-0.6147740656650709,-0.014454966926840722,0.6088093054056103,-0.4315883322805367,Lower,389,2
13,8/14/23,34.23625,-122.2133,P13,0.2201574434708978,0.9049980674834605,0.00876008125172892,51.99743378388221,0.023623016049437603,-0.7672872853431053,-1.0132001655223835,-1.9427350481244858,-1.2876496508607205,-0.9949329639893026,-5.010872149850695,Lower,562,2
14,8/15/23,34.29497,-120.7948,PB14,0.767101918395976,0.775091540229478,0.006055402517437272,146.19793809035417,0.04415455517957863,-0.2101495441432013,-0.3237833482296011,-0.24553719812734703,0.7480142140807728,-0.6303354568293622,-0.03145587641937658,Lower,458,4
15,8/16/23,34.26434,-119.907,PB15,0.386405972082677,0.9703285802621113,0.007124019700297241,108.68305041983686,0.04769367411952963,-0.5979404248208154,-1.3599106437719064,-0.9160991995307899,-0.0626789110829368,-0.5674880524107436,-2.9366291792064487,Lower,605,2
16,8/17/23,34.21956,-119.5261,PB16,0.2838482021798858,1.1353563917053864,0.007120873072266311,86.55780921222959,0.06380769230769232,-0.7024095380227864,-2.235716894119718,-0.9141246765454439,-0.5408032519347534,-0.2813365454782138,-4.393054360622702,Lower,306,2
17,8/18/23,33.7988,-119.5719,P17,0.1575392046475217,0.6761217523112156,0.006156259670990564,59.52813321299765,0.04656729266970634,-0.8310725244951249,0.2014515082249148,-0.30882550738094444,-1.1249119583350913,-0.587490248354928,-2.0633584819862456,Lower,171,2
