stn,mean_chl_ap676lh,sd_chl_ap676lh,mean_gamma_cp,sd_gamma_cp,mean_bbb_532,sd_bbb_532,mean_poc_cp_660,sd_poc_cp_660,mean_nano_syn,sd_nano_syn,mean_pico_syn,sd_pico_syn
4,0.17814001881403868,0.08771980316524705,0.6846397411915163,0.154104775650124,0.0038403973657510668,0.0017345411750306274,50.3671725025044,24.380493511034512,0.04712644027604658,0.012972259022868401,0.14154151339190707,0.0030536745893518145
5,0.1285249995002834,0.06344648582235593,0.7167783094705478,0.15276669592055298,0.0059724272407363655,0.0028562102261227074,61.93319537764153,20.099773457737253,0.03393417630705767,0.0023462425705230256,0.1018002869697785,0.00104946796059881
6,1.41423948224861,1.1188175595810705,0.6935847345423387,0.11378063518283849,0.007029090997710795,0.0017364518053472294,110.35743894747384,50.6902382518793,0.10820185682024358,0.005832481072251145,0.5952981142272578,0.0015886666280011336
7,2.161174107368887,3.290222225507033,0.6978513057931134,0.2553720819291531,0.005373214600354745,7.197676204729064e-4,128.7041576639753,136.5245927017536,0.033101067986454805,0.0018142750181525146,0.204108328991925,0.009457023651093192
8,0.4677302550804264,0.11129274439703489,0.6634111632010081,0.13437259117763406,0.004997372191169598,0.0011602676974364489,125.14689764561318,17.199339582178602,0.09098867137574133,0.0029642231295010806,0.3034387385275634,0.010015402609160024
9,1.50280075001503,1.289518419680861,0.5176261899057696,0.07075821554224199,0.006207677915971889,8.077534200762357e-4,194.39079660147704,73.16806188213128,0.2157390510948905,0.004580709987613595,0.41607835310218977,0.006165409833680597
10,1.8277375597078471,1.6201129786059218,0.5269233588107333,0.18252727744420488,0.006844227951142704,0.001157167125398509,144.13900474313266,63.499171314410006,0.0745054945054945,NA,0.33406593406593404,NA
11,3.4495493645430253,2.1253087269511957,0.413375815621154,0.10041231773007143,0.008347809241032313,5.239408589554908e-4,183.2516615410178,88.75307885731148,0.17173055951681904,0.009751560676710706,0.48121562189173966,0.021167360592999094
12,0.6827433171756634,0.2641500134442544,0.6210495292666771,0.12150767306754484,0.008480914659150919,0.001214673115394761,110.91461720126222,22.141903636250163,0.11393437724121444,0.014144671268416053,0.35632321300502035,0.012120381594806471
13,0.2201574434708978,0.19163523042119524,0.9049980674834605,0.1892319663437259,0.011964551314454631,0.003042226220576211,51.99743378388221,28.810784075153446,0.023623016049437603,0.005208912021904815,0.12039115873086442,0.00299539817427903
14,0.767101918395976,0.3757867476804785,0.775091540229478,0.17565854915087983,0.009121732203982002,0.001261639829065355,146.19793809035417,54.34748527962587,0.04415455517957863,0.0056919879686892,0.30113984348526274,0.012874897415488114
15,0.386405972082677,0.3568055697654233,0.9703285802621113,0.2743412246071531,0.014423833439925536,0.0040918879570029645,108.68305041983686,65.69797050885717,0.04769367411952963,0.0013796040815022982,0.18255281354140668,0.002627372408037864
16,0.2838482021798858,0.07989680172719567,1.1353563917053864,0.8330229246050277,0.018260276428002948,0.006869457778635925,86.55780921222959,31.008125926925892,0.06380769230769232,0.0059288183961025915,0.2679615384615385,0.008539674203560626
17,0.1575392046475217,0.19141968296434372,0.6761217523112156,0.9598497569357388,0.010054871469814841,0.0010901857747769356,59.52813321299765,34.85784462118024,0.04656729266970634,0.013225870611218712,0.25477345917163535,0.013732251324334496
