work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B2,1,TE,NA,NA,1,123.700358905263,209.661625263158,B2-1.fcs,/Cells,root,214,525,1730
B2,2,TE+SYBR,NA,NA,1,123.690173642105,209.644362105263,B2-2.fcs,/Cells,root,384,5688,3105
B2,3,B2,1.2T,0,1,10.9971230315789,18.6391915789474,B2-3.fcs,/Cells,root,6493,10000,590427
B2,4,B2,1.2T,0,4,38.3881376,65.06464,B2-4.fcs,/Cells,root,6417,10000,668644
B2,5,B2,1,0,1,19.07824,32.336,B2-5.fcs,/Cells,root,7282,10000,381691
B2,6,B2,2,0,1,26.1229940210526,44.2762610526316,B2-6.fcs,/Cells,root,5691,10000,217854
B2,7,B2,1,1,1,9.26737717894737,15.7074189473684,B2-7.fcs,/Cells,root,8163,10000,880832
B2,8,B2,V1,1,1,10.0862822736842,17.0953936842105,B2-8.fcs,/Cells,root,7701,10000,763512
B2,9,B2,2,1,1,8.45227789473684,14.3258947368421,B2-9.fcs,/Cells,root,8128,10000,961634
B2,10,B2,V2,1,1,9.33345717894737,15.8194189473684,B2-10.fcs,/Cells,root,7929,10000,849524
B2,11,B2,1,2,1,12.8946822736842,21.8553936842105,B2-11.fcs,/Cells,root,7364,10000,571088
B2,12,B2,V1,2,1,13.0870496,22.18144,B2-12.fcs,/Cells,root,7229,10000,552378
B2,13,B2,2,2,1,11.2795479578947,19.1178778947368,B2-13.fcs,/Cells,root,7078,10000,627507
B2,14,B2,V2,2,1,12.6588512,21.45568,B2-14.fcs,/Cells,root,7282,10000,575250
B2,15,B2,1,3,1,8.62252581052632,14.6144505263158,B2-15.fcs,/Cells,root,8043,10000,932789
B2,16,B2,V1,3,1,9.37482425263158,15.8895326315789,B2-16.fcs,/Cells,root,7741,10000,825722
B2,17,B2,2,3,1,8.10396176842105,13.7355284210526,B2-17.fcs,/Cells,root,7869,10000,971007
B2,18,B2,V2,3,1,8.83619772631579,14.9766063157895,B2-18.fcs,/Cells,root,7960,10000,900840
B2,19,B2,1,4,1,12.4705281684211,21.1364884210526,B2-19.fcs,/Cells,root,7091,10000,568621
B2,20,B2,V1,4,1,12.4248882526316,21.0591326315789,B2-20.fcs,/Cells,root,7389,10000,594693
B2,21,B2,2,4,1,14.1095307789474,23.9144589473684,B2-21.fcs,/Cells,root,5616,10000,398029
B2,22,B2,V2,4,1,16.4078528,27.80992,B2-22.fcs,/Cells,root,5428,10000,330817
B2,23,B2,1,5,1,14.6243386947368,24.7870147368421,B2-23.fcs,/Cells,root,5591,10000,382308
B2,24,B2,V1,5,1,17.2722090105263,29.2749305263158,B2-24.fcs,/Cells,root,5814,10000,336610
B2,25,B2,2,5,1,14.1245453473684,23.939907368421,B2-25.fcs,/Cells,root,4946,10000,350171
B2,26,B2,V2,5,1,16.6441509052632,28.2104252631579,B2-26.fcs,/Cells,root,4836,10000,290553
