work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B3_14_dil,1,B3,1,2,4,45.17598451,76.56946526,B3_14_dil_r2-1.fcs,/Cells,root,7874,10000,697184
B3_14_dil,2,B3,V1,2,4,51.53920034,87.354576839999993,B3_14_dil_r2-2.fcs,/Cells,root,7978,10000,619180
B3_14_dil,3,B3,2,2,4,38.86735175,65.87686737,B3_14_dil_r2-3.fcs,/Cells,root,8170,10000,840808
B3_14_dil,4,B3,V2,2,4,42.88136893,72.68028632,B3_14_dil_r2-4.fcs,/Cells,root,8154,10000,760612
B3_14_dil,5,B3,3,2,4,42.93296101,72.76773053,B3_14_dil_r2-5.fcs,/Cells,root,8123,10000,756808
B3_14_dil,6,B3,V3,2,4,45.82410509,77.66797474,B3_14_dil_r2-6.fcs,/Cells,root,8155,10000,711852
B3_14_dil,7,B3,4,2,4,42.56953095,72.15174737,B3_14_dil_r2-7.fcs,/Cells,root,7880,10000,740436
B3_14_dil,8,B3,V4,2,4,46.94816067,79.57315368,B3_14_dil_r2-8.fcs,/Cells,root,8135,10000,693104
B3_14_dil,9,B3,1,3,4,45.84333288,77.70056421,B3_14_dil_r2-9.fcs,/Cells,root,7865,10000,686252
B3_14_dil,10,B3,V1,3,4,51.28622821,86.92581053,B3_14_dil_r2-10.fcs,/Cells,root,8010,10000,624728
B3_14_dil,11,B3,2,3,4,32.19971082,54.57578105,B3_14_dil_r2-11.fcs,/Cells,root,7979,10000,991188
B3_14_dil,12,B3,V2,3,4,39.78385651,67.43026526,B3_14_dil_r2-12.fcs,/Cells,root,8251,10000,829584
B3_14_dil,13,B3,3,3,4,39.07741659,66.23290947,B3_14_dil_r2-13.fcs,/Cells,root,8099,10000,829020
B3_14_dil,14,B3,V3,3,4,45.10346543,76.44655158,B3_14_dil_r2-14.fcs,/Cells,root,7438,10000,659640
B3_14_dil,15,B3,4,3,4,41.86269356,70.95371789,B3_14_dil_r2-15.fcs,/Cells,root,7978,10000,762300
B3_14_dil,16,B3,V4,3,4,44.86177162,76.03690105,B3_14_dil_r2-16.fcs,/Cells,root,8438,10000,752356
B3_14_dil,17,B3,1,4,4,36.9253152,62.58528,B3_14_dil_r2-17.fcs,/Cells,root,8424,10000,912544
B3_14_dil,18,B3,V1,4,4,42.55206198,72.12213895,B3_14_dil_r2-18.fcs,/Cells,root,8419,10000,791408
B3_14_dil,19,B3,2,4,4,27.41158383,46.46031158,B3_14_dil_r2-19.fcs,/Cells,root,8237,10000,1201972
B3_14_dil,20,B3,V2,4,4,29.29755672,49.65687579,B3_14_dil_r2-20.fcs,/Cells,root,8400,10000,1146852
B3_14_dil,21,B3,3,4,4,26.98718131,45.74098526,B3_14_dil_r2-21.fcs,/Cells,root,8350,10000,1237624
B3_14_dil,22,B3,V3,4,4,33.68896522,57.09994105,B3_14_dil_r2-22.fcs,/Cells,root,8126,10000,964828
B3_14_dil,23,B3,4,4,4,33.36258964,56.54676211,B3_14_dil_r2-23.fcs,/Cells,root,8308,10000,996084
B3_14_dil,24,B3,V4,4,4,33.6071552,56.96128,B3_14_dil_r2-24.fcs,/Cells,root,8294,10000,987172
B3_14_dil,25,B3,1,5,4,33.79061912,57.27223579,B3_14_dil_r2-25.fcs,/Cells,root,7937,10000,939552
B3_14_dil,26,B3,V1,5,4,40.93341002,69.37866105,B3_14_dil_r2-26.fcs,/Cells,root,7582,10000,740912
B3_14_dil,27,B3,2,5,4,26.51207107,44.93571368,B3_14_dil_r2-27.fcs,/Cells,root,8096,10000,1221480
B3_14_dil,28,B3,V2,5,4,28.00486299,47.46586947,B3_14_dil_r2-28.fcs,/Cells,root,8065,10000,1151944
B3_14_dil,29,B3,3,5,4,26.46291352,44.85239579,B3_14_dil_r2-29.fcs,/Cells,root,7910,10000,1195636
B3_14_dil,30,B3,V3,5,4,29.0315872,49.20608,B3_14_dil_r2-30.fcs,/Cells,root,7895,10000,1087780
B3_14_dil,31,B3,4,5,4,31.13511731,52.77138526,B3_14_dil_r2-31.fcs,/Cells,root,8025,10000,1030992
B3_14_dil,32,B3,V4,5,4,33.27980581,56.40645053,B3_14_dil_r2-32.fcs,/Cells,root,7791,10000,936424
B3_14_dil,33,B14,2,4,4,31.18950164,52.86356211,B3_14_dil_r2-33.fcs,/Cells,root,7609,10000,975840
B3_14_dil,34,B14,V2,4,4,32.69853036,55.42123789,B3_14_dil_r2-34.fcs,/Cells,root,7608,10000,930684
B3_14_dil,35,B14,3,4,4,31.29576623,53.04367158,B3_14_dil_r2-35.fcs,/Cells,root,7107,10000,908364
B3_14_dil,36,B14,V3,4,4,34.51834375,58.50566737,B3_14_dil_r2-36.fcs,/Cells,root,7575,10000,877796
B3_14_dil,37,B14,4,4,4,32.23198568,54.63048421,B3_14_dil_r2-37.fcs,/Cells,root,7720,10000,958056
B3_14_dil,38,B14,V4,4,4,31.29186105,53.03705263,B3_14_dil_r2-38.fcs,/Cells,root,8176,10000,1045128
B3_14_dil,39,B14,1,5,4,32.50408623,55.09167158,B3_14_dil_r2-39.fcs,/Cells,root,7602,10000,935512
B3_14_dil,40,B14,V1,5,4,36.26298493,61.46268632,B3_14_dil_r2-40.fcs,/Cells,root,7952,10000,877148
B3_14_dil,41,B14,2,5,4,55.26794072,93.67447579,B3_14_dil_r2-41.fcs,/Cells,root,6854,10000,496056
B3_14_dil,42,B14,V2,5,4,63.32495091,107.3304253,B3_14_dil_r2-42.fcs,/Cells,root,6621,10000,418224
B3_14_dil,43,B14,3,5,4,55.67208202,94.35946105,B3_14_dil_r2-43.fcs,/Cells,root,6793,10000,488072
B3_14_dil,44,B14,V3,5,4,49.01563992,83.07735579,B3_14_dil_r2-44.fcs,/Cells,root,7142,10000,582836
B3_14_dil,45,B14,4,5,4,56.33097415,95.47622737,B3_14_dil_r2-45.fcs,/Cells,root,6988,10000,496212
B3_14_dil,46,B14,V4,5,4,64.80630552,109.8411958,B3_14_dil_r2-46.fcs,/Cells,root,6915,10000,426812
