work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B1_2_15,1,B1,2,4,4,35.7897030736842,60.6605136842105,B1_2_15-1.fcs,/Cells,root,7188,10000,803360
B1_2_15,2,B1,V2,4,4,41.2009694315789,69.8321515789474,B1_2_15-2.fcs,/Cells,root,7220,10000,700956
B1_2_15,3,B1,2,5,4,40.3969099789474,68.4693389473684,B1_2_15-3.fcs,/Cells,root,6911,10000,684308
B1_2_15,4,B1,V2,5,4,47.7499346526316,80.9320926315789,B1_2_15-4.fcs,/Cells,root,6784,10000,568292
B1_2_15,5,B2,2,5,4,94.7957446736842,160.670753684211,B1_2_15-5.fcs,/Cells,root,5640,10000,237984
B1_2_15,6,B2,V2,5,4,104.131874863158,176.494703157895,B1_2_15-6.fcs,/Cells,root,5781,10000,222064
