Current Date: 30-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 1, B1-1.2T-0-0, 10000, 10000, All Events, 1, 0.2, 833.568791656153, 11.9966103578947, 20.3332378947368, 30-AUG-2023 , 14:49:45 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 2, B1-1-0-0, 10000, 10000, All Events, 1, 0.2, 425.117650549053, 23.5229000421053, 39.8693221052632, 30-AUG-2023 , 14:51:01 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 3, B1-2-0-0, 10000, 10000, All Events, 1, 0.2, 375.129695366509, 26.6574470736842, 45.1821136842105, 30-AUG-2023 , 14:52:11 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 4, B1-1-1-0, 10000, 10000, All Events, 1, 0.2, 535.782187445404, 18.664300968421, 31.6344084210526, 30-AUG-2023 , 14:53:19 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 5, B1-V1-1-0, 10000, 10000, All Events, 1, 0.2, 541.067575763471, 18.4819797894737, 31.3253894736842, 30-AUG-2023 , 14:54:27 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 6, B1-2-1-0, 10000, 10000, All Events, 1, 0.2, 501.902881830405, 19.9241733052632, 33.7697852631579, 30-AUG-2023 , 14:55:36 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 7, B1-V2-1-0, 10000, 10000, All Events, 1, 0.2, 534.718326595957, 18.7014349473684, 31.697347368421, 30-AUG-2023 , 14:56:45 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 8, B1-1-2-0, 10000, 10000, All Events, 1, 0.2, 586.765327439413, 17.0425884631579, 28.8857431578947, 30-AUG-2023 , 14:57:51 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 9, B1-V1-2-0, 10000, 10000, All Events, 1, 0.2, 617.79462230149, 16.1866090105263, 27.4349305263158, 30-AUG-2023 , 14:58:56 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
 10, B1-2-2-0, 10000, 10000, All Events, 1, 0.2, 657.465362786896, 15.2099267368421, 25.7795368421053, 30-AUG-2023 , 14:59:47 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B1_r2_map.csv,
