Current Date: 31-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 14, B2-1.2DNA-0-0, 7920, 10000, All Events, 1, 0.2, 454.316045911378, 17.4327983157895, 29.5471157894737, 31-AUG-2023 , 09:45:29 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 15, B2-1GF75-2-0, 6706, 10000, All Events, 1, 0.2, 382.138263829769, 17.5486221473684, 29.743427368421, 31-AUG-2023 , 09:46:24 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 16, B2-1DNA-2-0, 3807, 10000, All Events, 1, 0.2, 218.368144507609, 17.4338615578947, 29.5489178947368, 31-AUG-2023 , 09:47:19 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 17, B2-2GF75-2-0, 6318, 10000, All Events, 1, 0.2, 362.406872887756, 17.4334442105263, 29.5482105263158, 31-AUG-2023 , 09:48:14 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 18, B2-2DNA-2-0, 3634, 10000, All Events, 1, 0.2, 208.436373179913, 17.4345770105263, 29.5501305263158, 31-AUG-2023 , 09:49:09 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 19, B2-1GF75-5-0, 10000, 10000, All Events, 1, 0.2, 2024.54736832199, 4.93937566315789, 8.37182315789474, 31-AUG-2023 , 09:49:42 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 20, B2-1DNA-5-0, 4734, 10000, All Events, 1, 0.2, 271.55337617368, 17.4330368, 29.54752, 31-AUG-2023 , 09:50:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 21, B2-2GF75-5-0, 10000, 10000, All Events, 1, 0.2, 1960.48837507162, 5.10076985263158, 8.64537263157895, 31-AUG-2023 , 09:51:11 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 22, B2-2DNA-5-0, 6191, 10000, All Events, 1, 0.2, 352.794426742423, 17.5484631578947, 29.7431578947368, 31-AUG-2023 , 09:52:02 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 23, B3-1.2DNA-0-0, 4726, 10000, All Events, 1, 0.2, 269.279769335827, 17.5505200842105, 29.7466442105263, 31-AUG-2023 , 09:53:06 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 24, B3-1GF75-2-0, 8241, 10000, All Events, 1, 0.2, 472.708595988467, 17.4335733894737, 29.5484294736842, 31-AUG-2023 , 09:54:12 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 25, B3-1DNA-2-0, 3262, 10000, All Events, 1, 0.2, 187.097863664923, 17.4347260631579, 29.5503831578947, 31-AUG-2023 , 09:55:07 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 26, B3-2GF75-2-0, 6227, 10000, All Events, 1, 0.2, 354.800483620472, 17.5507088842105, 29.7469642105263, 31-AUG-2023 , 09:56:02 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 27, B3-2DNA-2-0, 3267, 10000, All Events, 1, 0.2, 186.147065030354, 17.5506393263158, 29.7468463157895, 31-AUG-2023 , 09:56:57 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 28, B3-3GF75-2-0, 7891, 10000, All Events, 1, 0.2, 452.648644731996, 17.4329473684211, 29.5473684210526, 31-AUG-2023 , 09:57:52 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 29, B3-3DNA-2-0, 2936, 10000, All Events, 1, 0.2, 167.277692840042, 17.5516528842105, 29.7485642105263, 31-AUG-2023 , 09:58:47 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 30, B3-4GF75-2-0, 7986, 10000, All Events, 1, 0.2, 455.059910637311, 17.5493376, 29.74464, 31-AUG-2023 , 09:59:42 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 31, B3-4DNA-2-0, 2625, 10000, All Events, 1, 0.2, 149.560426747334, 17.5514342736842, 29.7481936842105, 31-AUG-2023 , 10:00:37 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 32, B3-1GF75-5-0, 5976, 10000, All Events, 1, 0.2, 340.49964533626, 17.5506790736842, 29.7469136842105, 31-AUG-2023 , 10:01:32 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 33, B3-1DNA-5-0, 3968, 10000, All Events, 1, 0.2, 227.59993291405, 17.4341000421053, 29.5493221052632, 31-AUG-2023 , 10:02:26 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 34, B3-2GF75-5-0, 4004, 10000, All Events, 1, 0.2, 228.136737274677, 17.5508778105263, 29.7472505263158, 31-AUG-2023 , 10:03:17 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 35, B3-2DNA-5-0, 4219, 10000, All Events, 1, 0.2, 240.388878330889, 17.5507287578947, 29.7469978947368, 31-AUG-2023 , 10:04:21 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 36, B3-3GF75-5-0, 6576, 10000, All Events, 1, 0.2, 377.214614247699, 17.4330467368421, 29.5475368421053, 31-AUG-2023 , 10:05:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 37, B3-3DNA-5-0, 7215, 10000, All Events, 1, 0.2, 413.925053692588, 17.4306917052632, 29.5435452631579, 31-AUG-2023 , 10:06:36 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 38, B3-4GF75-5-0, 4482, 10000, All Events, 1, 0.2, 257.072713404899, 17.4347558736842, 29.5504336842105, 31-AUG-2023 , 10:07:42 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 39, B3-4DNA-5-0, 3939, 10000, All Events, 1, 0.2, 224.425849102115, 17.5514541473684, 29.748227368421, 31-AUG-2023 , 10:08:33 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 40, B14-1.2GF75-0-0, 6861, 10000, All Events, 1, 0.2, 390.975072485823, 17.5484333473684, 29.7431073684211, 31-AUG-2023 , 10:09:37 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 41, B14-1.2DNA-0-0, 5382, 10000, All Events, 1, 0.2, 306.673553371023, 17.5496058947368, 29.7450947368421, 31-AUG-2023 , 10:10:43 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 42, B14-1GF75-2-0, 4282, 10000, All Events, 1, 0.2, 243.964245755462, 17.5517522526316, 29.7487326315789, 31-AUG-2023 , 10:11:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 43, B14-1DNA-2-0, 3271, 10000, All Events, 1, 0.2, 186.367274167425, 17.5513647157895, 29.7480757894737, 31-AUG-2023 , 10:12:33 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 44, B14-2GF75-2-0, 5262, 10000, All Events, 1, 0.2, 299.80914124519, 17.5511659789474, 29.7477389473684, 31-AUG-2023 , 10:13:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 45, B14-2DNA-2-0, 2019, 10000, All Events, 1, 0.2, 115.027603074448, 17.5523087157895, 29.7496757894737, 31-AUG-2023 , 10:14:23 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 46, B14-3GF75-2-0, 3545, 10000, All Events, 1, 0.2, 203.338064812313, 17.4340205473684, 29.549187368421, 31-AUG-2023 , 10:15:18 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 47, B14-3DNA-2-0, 2499, 10000, All Events, 1, 0.2, 143.326133900525, 17.4357594947368, 29.5521347368421, 31-AUG-2023 , 10:16:13 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 48, B14-4GF75-2-0, 4196, 10000, All Events, 1, 0.2, 240.653610715049, 17.4358489263158, 29.5522863157895, 31-AUG-2023 , 10:17:08 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 49, B14-4DNA-2-0, 2683, 10000, All Events, 1, 0.2, 153.883894377403, 17.4352229052632, 29.5512252631579, 31-AUG-2023 , 10:18:03 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 50, B14-1GF75-5-0, 4275, 10000, All Events, 1, 0.2, 243.569010457961, 17.5514938947368, 29.7482947368421, 31-AUG-2023 , 10:18:57 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 51, B14-1DNA-5-0, 1666, 10000, All Events, 1, 0.2, 94.9145691396462, 17.5526266947368, 29.7502147368421, 31-AUG-2023 , 10:19:48 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 52, B14-2GF75-5-0, 4250, 10000, All Events, 1, 0.2, 243.746510757379, 17.4361470315789, 29.5527915789474, 31-AUG-2023 , 10:20:52 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 53, B14-2DNA-5-0, 2108, 10000, All Events, 1, 0.2, 120.093945824915, 17.5529248, 29.75072, 31-AUG-2023 , 10:22:00 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 54, B14-3GF75-5-0, 4414, 10000, All Events, 1, 0.2, 251.495683508087, 17.5509970526316, 29.7474526315789, 31-AUG-2023 , 10:23:07 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 55, B14-3DNA-5-0, 2087, 10000, All Events, 1, 0.2, 118.900794921905, 17.5524478315789, 29.7499115789474, 31-AUG-2023 , 10:24:02 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
