Current Date: 29-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 1, B2-1-1-4, 10000, 10000, All Events, 1, 0.2, 318.823119934696, 31.3653539368421, 53.1616168421053, 29-AUG-2023 , 14:52:52 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 2, B2-V1-1-4, 10000, 10000, All Events, 1, 0.2, 267.410385352845, 37.3957054315789, 63.3825515789474, 29-AUG-2023 , 14:54:33 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 3, B2-2-1-4, 10000, 10000, All Events, 1, 0.2, 363.385020545437, 27.519020968421, 46.6424084210526, 29-AUG-2023 , 14:55:56 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 4, B2-V2-1-4, 10000, 10000, All Events, 1, 0.2, 315.141328850908, 31.7317948631579, 53.7827031578947, 29-AUG-2023 , 14:57:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 5, B2-1-3-4, 10000, 10000, All Events, 1, 0.2, 342.978643737959, 29.1563343157895, 49.4175157894737, 29-AUG-2023 , 14:58:53 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 6, B2-V1-3-4, 10000, 10000, All Events, 1, 0.2, 307.798441978459, 32.4887934315789, 55.0657515789474, 29-AUG-2023 , 15:00:25 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 7, B2-2-3-4, 10000, 10000, All Events, 1, 0.2, 389.04936287802, 25.7036791578947, 43.5655578947368, 29-AUG-2023 , 15:01:45 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 8, B2-V2-3-4, 10000, 10000, All Events, 1, 0.2, 335.438783475647, 29.8116988631579, 50.5283031578947, 29-AUG-2023 , 15:03:10 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
