Current Date: 29-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 1, TE, 525, 10000, All Events, 1, 0.2, 4.24412673209845, 123.700358905263, 209.661625263158, 29-AUG-2023 , 14:04:01 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 2, TE+SYBR, 5688, 10000, All Events, 1, 0.2, 45.9858680161457, 123.690173642105, 209.644362105263, 29-AUG-2023 , 14:08:08 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 3, B2-1.2T-0-0, 10000, 10000, All Events, 1, 0.15, 909.328737278319, 10.9971230315789, 18.6391915789474, 29-AUG-2023 , 14:09:05 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 4, B2-1.2T-0-4, 10000, 10000, All Events, 1, 0.2, 260.497138574391, 38.3881376, 65.06464, 29-AUG-2023 , 14:10:45 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 5, B2-1-0-0, 10000, 10000, All Events, 1, 0.2, 524.157364620636, 19.07824, 32.336, 29-AUG-2023 , 14:11:53 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 6, B2-2-0-0, 10000, 10000, All Events, 1, 0.2, 382.804512834209, 26.1229940210526, 44.2762610526316, 29-AUG-2023 , 14:13:15 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 7, B2-1-1-0, 10000, 10000, All Events, 1, 0.2, 1079.05395527841, 9.26737717894737, 15.7074189473684, 29-AUG-2023 , 14:14:07 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 8, B2-V1-1-0, 10000, 10000, All Events, 1, 0.2, 991.445582094274, 10.0862822736842, 17.0953936842105, 29-AUG-2023 , 14:14:49 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 9, B2-2-1-0, 10000, 10000, All Events, 1, 0.2, 1183.11301693321, 8.45227789473684, 14.3258947368421, 29-AUG-2023 , 14:15:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 10, B2-V2-1-0, 10000, 10000, All Events, 1, 0.2, 1071.41435464622, 9.33345717894737, 15.8194189473684, 29-AUG-2023 , 14:16:10 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 11, B2-1-2-0, 10000, 10000, All Events, 1, 0.2, 775.513485928091, 12.8946822736842, 21.8553936842105, 29-AUG-2023 , 14:16:56 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 12, B2-V1-2-0, 10000, 10000, All Events, 1, 0.2, 764.114166725554, 13.0870496, 22.18144, 29-AUG-2023 , 14:17:40 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
 13, B2-2-2-0, 10000, 10000, All Events, 1, 0.2, 886.560351295004, 11.2795479578947, 19.1178778947368, 29-AUG-2023 , 14:18:32 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B2_map copy.csv,
