Current Date: 31-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 12, B1-2DNA-5-0, 4713, 10000, All Events, 1, 0.2, 270.351694685802, 17.432848, 29.5472, 31-AUG-2023 , 08:24:48 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 13, B2-1.2GF75-0-0, 6726, 10000, All Events, 1, 0.2, 385.886488514194, 17.4299961263158, 29.5423663157895, 31-AUG-2023 , 08:25:51 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 14, B2-1.2DNA-0-0, 9798, 10000, All Events, 1, 0.2, 562.111623569538, 17.4307016421053, 29.5435621052632, 31-AUG-2023 , 08:26:57 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 15, B2-1GF75-2-0, 8474, 10000, All Events, 1, 0.2, 486.148705880998, 17.4308805052632, 29.5438652631579, 31-AUG-2023 , 08:27:52 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 16, B2-1DNA-2-0, 5741, 10000, All Events, 1, 0.2, 327.162641427936, 17.5478470736842, 29.7421136842105, 31-AUG-2023 , 08:28:47 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 17, B2-2GF75-2-0, 7119, 10000, All Events, 1, 0.2, 408.369104181588, 17.4327585684211, 29.5470484210526, 31-AUG-2023 , 08:29:42 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 18, B2-2DNA-2-0, 6125, 10000, All Events, 1, 0.2, 351.378456946858, 17.4313475368421, 29.5446568421053, 31-AUG-2023 , 08:30:37 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 19, B2-1GF75-5-0, 10000, 10000, All Events, 1, 0.2, 2019.55411374415, 4.95158804210526, 8.39252210526316, 31-AUG-2023 , 08:31:11 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 20, B2-1DNA-5-0, 6863, 10000, All Events, 1, 0.2, 391.115176221693, 17.5472608, 29.74112, 31-AUG-2023 , 08:32:05 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 21, B2-2GF75-5-0, 10000, 10000, All Events, 1, 0.2, 1984.73112500644, 5.03846585263158, 8.53977263157895, 31-AUG-2023 , 08:32:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 22, B2-2DNA-5-0, 7611, 10000, All Events, 1, 0.2, 433.776810981905, 17.5458895157895, 29.7387957894737, 31-AUG-2023 , 08:33:29 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 23, B3-1.2GF75-0-0, 8311, 10000, All Events, 1, 0.2, 476.791506077303, 17.4310991157895, 29.5442357894737, 31-AUG-2023 , 08:34:32 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 24, B3-1.2DNA-0-0, 4801, 10000, All Events, 1, 0.2, 273.557019067598, 17.5502716631579, 29.7462231578947, 31-AUG-2023 , 08:35:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
