Current Date: 30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number: 8470H50282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gains,,,,,High Calibration,,,,,,,,,,,,,,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList
1, B3-1-2-4,10000,10000, All Events,1,0.2,294.0398894,34.00899116,57.64235789, 30-AUG-2023 , 10:44:50 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
2, B3-V1-2-4,10000,10000, All Events,1,0.2,279.3383888,35.79887478,60.67605895, 30-AUG-2023 , 10:46:29 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
3, B3-2-2-4,10000,10000, All Events,1,0.2,381.4276085,26.21729465,44.43609263, 30-AUG-2023 , 10:47:50 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
4, B3-V2-2-4,10000,10000, All Events,1,0.2,358.4114569,27.90089381,47.28965053, 30-AUG-2023 , 10:49:14 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
5, B3-3-2-4,10000,10000, All Events,1,0.2,352.6187511,28.35924059,48.06650947, 30-AUG-2023 , 10:50:39 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
6, B3-V3-2-4,10000,10000, All Events,1,0.2,344.6817504,29.01226998,49.17333895, 30-AUG-2023 , 10:52:05 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
7, B3-4-2-4,10000,10000, All Events,1,0.2,343.2361148,29.13446333,49.38044632, 30-AUG-2023 , 10:53:32 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
8, B3-V4-2-4,10000,10000, All Events,1,0.2,305.7336477,32.70820884,55.43764211, 30-AUG-2023 , 10:55:05 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
9, B3-1-3-4,10000,10000, All Events,1,0.2,324.5952404,30.80759899,52.21626947, 30-AUG-2023 , 10:56:30 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
10, B3-V1-3-4,10000,10000, All Events,1,0.2,291.391031,34.31814619,58.16634947, 30-AUG-2023 , 10:58:01 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
11, B3-2-3-4,10000,10000, All Events,1,0.2,435.8732517,22.94244935,38.88550737, 30-AUG-2023 , 10:59:18 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
12, B3-V2-3-4,10000,10000, All Events,1,0.2,419.5623387,23.83436042,40.39722105, 30-AUG-2023 , 11:00:36 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
13, B3-3-3-4,10000,10000, All Events,1,0.2,369.1351948,27.0903456,45.91584, 30-AUG-2023 , 11:01:59 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
