Current Date: 31-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number: 8470H50282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gains,,,,,High Calibration,,,,,,,,,,,,,,,,,
11, B3-2-3-4,10000,10000, All Events,1,0.2,310.5617953,32.19971082,54.57578105, 30-AUG-2023 , 19:33:41 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
12, B3-V2-3-4,10000,10000, All Events,1,0.2,251.3582362,39.78385651,67.43026526, 30-AUG-2023 , 19:35:26 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
13, B3-3-3-4,10000,10000, All Events,1,0.2,255.90228,39.07741659,66.23290947, 30-AUG-2023 , 19:37:08 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
14, B3-V3-3-4,10000,10000, All Events,1,0.2,221.7124539,45.10346543,76.44655158, 30-AUG-2023 , 19:39:03 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
15, B3-4-3-4,10000,10000, All Events,1,0.2,238.8761723,41.86269356,70.95371789, 30-AUG-2023 , 19:40:51 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
16, B3-V4-3-4,10000,10000, All Events,1,0.2,222.9069348,44.86177162,76.03690105, 30-AUG-2023 , 19:42:46 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
17, B3-1-4-4,10000,10000, All Events,1,0.2,270.8169164,36.9253152,62.58528, 30-AUG-2023 , 19:44:28 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
18, B3-V1-4-4,10000,10000, All Events,1,0.2,235.0062379,42.55206198,72.12213895, 30-AUG-2023 , 19:46:18 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
19, B3-2-4-4,10000,10000, All Events,1,0.2,364.8092741,27.41158383,46.46031158, 30-AUG-2023 , 19:47:44 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
20, B3-V2-4-4,10000,10000, All Events,1,0.2,341.325391,29.29755672,49.65687579, 30-AUG-2023 , 19:49:10 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
21, B3-3-4-4,10000,10000, All Events,1,0.2,370.5462933,26.98718131,45.74098526, 30-AUG-2023 , 19:50:31 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
22, B3-V3-4-4,10000,10000, All Events,1,0.2,296.8331005,33.68896522,57.09994105, 30-AUG-2023 , 19:52:02 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
23, B3-4-4-4,10000,10000, All Events,1,0.2,299.7369241,33.36258964,56.54676211, 30-AUG-2023 , 19:53:37 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
24, B3-V4-4-4,10000,10000, All Events,1,0.2,297.5556824,33.6071552,56.96128, 30-AUG-2023 , 19:55:12 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
25, B3-1-5-4,10000,10000, All Events,1,0.2,295.9401237,33.79061912,57.27223579, 30-AUG-2023 , 19:56:46 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
26, B3-V1-5-4,10000,10000, All Events,1,0.2,244.2992166,40.93341002,69.37866105, 30-AUG-2023 , 19:58:33 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
27, B3-2-5-4,10000,10000, All Events,1,0.2,377.1866774,26.51207107,44.93571368, 30-AUG-2023 , 19:59:56 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
28, B3-V2-5-4,10000,10000, All Events,1,0.2,357.08084,28.00486299,47.46586947, 30-AUG-2023 , 20:01:22 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
29, B3-3-5-4,10000,10000, All Events,1,0.2,377.8873401,26.46291352,44.85239579, 30-AUG-2023 , 20:02:44 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
30, B3-V3-5-4,10000,10000, All Events,1,0.2,344.4524039,29.0315872,49.20608, 30-AUG-2023 , 20:04:11 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
31, B3-4-5-4,10000,10000, All Events,1,0.2,321.1807395,31.13511731,52.77138526, 30-AUG-2023 , 20:05:42 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
32, B3-V4-5-4,10000,10000, All Events,1,0.2,300.4825226,33.27980581,56.40645053, 30-AUG-2023 , 20:07:13 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
33, B14-2-4-4,10000,10000, All Events,1,0.2,320.6207048,31.18950164,52.86356211, 30-AUG-2023 , 20:08:41 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
34, B14-V2-4-4,10000,10000, All Events,1,0.2,305.8241423,32.69853036,55.42123789, 30-AUG-2023 , 20:10:14 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
35, B14-3-4-4,10000,10000, All Events,1,0.2,319.5320391,31.29576623,53.04367158, 30-AUG-2023 , 20:11:46 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
36, B14-V3-4-4,10000,10000, All Events,1,0.2,289.7010376,34.51834375,58.50566737, 30-AUG-2023 , 20:13:21 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
37, B14-4-4-4,10000,10000, All Events,1,0.2,310.2508203,32.23198568,54.63048421, 30-AUG-2023 , 20:14:48 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
38, B14-V4-4-4,10000,10000, All Events,1,0.2,319.5719163,31.29186105,53.03705263, 30-AUG-2023 , 20:16:15 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
39, B14-1-5-4,10000,10000, All Events,1,0.2,307.6536263,32.50408623,55.09167158, 30-AUG-2023 , 20:17:47 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
40, B14-V1-5-4,10000,10000, All Events,1,0.2,275.7632892,36.26298493,61.46268632, 30-AUG-2023 , 20:19:25 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
41, B14-2-5-4,10000,10000, All Events,1,0.2,180.9367216,55.26794072,93.67447579, 30-AUG-2023 , 20:21:36 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
42, B14-V2-5-4,10000,10000, All Events,1,0.2,157.9156376,63.32495091,107.3304253, 30-AUG-2023 , 20:24:00 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
43, B14-3-5-4,10000,10000, All Events,1,0.2,179.6232445,55.67208202,94.35946105, 30-AUG-2023 , 20:26:13 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
44, B14-V3-5-4,10000,10000, All Events,1,0.2,204.0165143,49.01563992,83.07735579, 30-AUG-2023 , 20:28:13 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
45, B14-4-5-4,10000,10000, All Events,1,0.2,177.5222274,56.33097415,95.47622737, 30-AUG-2023 , 20:30:25 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
46, B14-V4-5-4,10000,10000, All Events,1,0.2,154.3059726,64.80630552,109.8411958, 30-AUG-2023 , 20:32:48 ,39.73944999,4.555154539,4,3.363585661,6.168843302, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B,30,0.59,500,1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B3_14_dil_map.csv
