dt,betap_1,betap_2,betap_3,bbp_1,bbp_2,bbp_3,betap_sd_1,betap_sd_2,betap_sd_3,betap_n,gamma_bbp,poc_1,poc_2,poc_3,cphyto_1,cphyto_2,cphyto_3
739115,0.000280231544373752,0.000438674952392943,0.000184932996263671,0.00189456347310593,0.00296575299268127,0.00125027787459177,1.78995437236489e-05,3.87502869730322e-05,3.6706428850985e-05,20,1.07443974222594,47.610939036846,80.0942898151114,40.8757978616868,23.5672658018287,40.2085803650104,20.1168334961118
739115.000694444,0.000281501265679477,0.00043038902617438,0.000172791974834148,0.00190314768732144,0.00290973427005809,0.00116819598128468,2.12536988310141e-05,4.37189050651119e-05,2.49400430729661e-05,40,1.20643540740092,47.8141573897409,78.6335585468284,38.373460647714,23.6713751518345,39.4602435110416,18.8348789032765
739115.001388889,0.000281509936986654,0.000441292699962067,0.000173227703409107,0.00190320631149197,0.00298345081801838,0.00117114181468166,1.84216099934339e-05,5.01052820415992e-05,3.35202081690122e-05,40,1.1944072881734,47.8155452287527,80.5557742196098,38.4632669160449,23.6720861457746,40.4450001602982,18.8808869143108
739115.002083333,0.000278996508292378,0.000450222281435812,0.000168448681979585,0.00188621375554302,0.00304382110548223,0.00113883224918362,2.39779736081203e-05,5.73513799313325e-05,2.06289011239998e-05,40,1.21633750917356,47.4132720393002,82.1299758872712,37.4782819838556,23.4660004272257,41.2514682280866,18.3762762844394
739115.002777778,0.000283418854598103,0.000446684847524942,0.000174814910550063,0.00191611194489559,0.00301990554989751,0.00118187245772982,2.0834625716305e-05,4.75058753044714e-05,2.19791595491377e-05,40,1.18885673019154,48.1210666774846,81.5063593854109,38.7903998115885,23.8286056676937,40.9319876903462,19.0484780429437
739115.003472222,0.000281352721418101,0.000453694626575786,0.000166451895535278,0.00190214342303574,0.0030672966149325,0.00112533256031229,1.97918085568944e-05,5.62696422904107e-05,2.19928027029316e-05,39,1.24900155676854,47.7903829441263,82.7421178478004,37.0667323414346,23.6591954345775,41.5650703251124,18.1654382122022
739115.004166667,0.000281754797211005,0.000437626995094066,0.000179469617695499,0.00190486173982038,0.0029586680600258,0.0012133415707287,1.85522192238378e-05,4.91438795639923e-05,2.68015201907967e-05,40,1.13824193748555,47.854735003121,79.9095447481247,39.7497628254655,23.6921631805416,40.1139349328101,19.5399624899512
739115.004861111,0.000290170468516729,0.000437201868875503,0.000174383846265977,0.00196175763101322,0.00295579390605806,0.00117895815823861,2.48196956117341e-05,4.76200476904531e-05,2.66895015459973e-05,40,1.24737300056408,49.201659602672,79.8345989733204,38.7015548815352,24.3821965489283,40.075539995594,19.0029625282896
739115.005555556,0.000275256714823907,0.000452139045365892,0.000167764324840936,0.00186093010620168,0.00305677978555021,0.00113420551081859,2.57451727572442e-05,4.78190564797286e-05,3.14764803883837e-05,40,1.19548821051752,46.8147196913136,82.4678834346873,37.3372318798235,23.159360328014,41.4245792420398,18.3040159081503
739115.00625,0.000272112761129631,0.000439971721707785,0.000166666303411414,0.00183967475522533,0.00297452007057193,0.00112678210922507,1.80166197749232e-05,5.93785295997125e-05,2.29633819031027e-05,40,1.19248209980519,46.3115312448033,80.3228981125998,37.110923088526,22.9015754313728,40.3256970570729,18.1880772597607
739115.006944444,0.000275904582436809,0.000447464619962043,0.000161682781986372,0.00186531014956031,0.00302517736317595,0.00109308997909595,2.4384806603196e-05,6.81320020939782e-05,2.19955597561558e-05,40,1.26181890096653,46.9184106261624,81.643825970434,36.0837894827662,23.2124814938675,41.0024122194815,17.6618737425023
739115.007638889,0.000270626544127149,0.000424910625552212,0.000166717138761979,0.00182962687695272,0.00287269640648354,0.00112712579215533,1.62119524182866e-05,4.20765394908356e-05,2.18447212728234e-05,39,1.19207830238632,46.0736628480714,77.6677677736672,37.1214005586665,22.7797147636826,38.9654661043601,18.1934448980203
739115.008333333,0.000274450700048258,0.000441784001897752,0.000158464239127328,0.00185548087615108,0.00298677236664595,0.00107133035260209,2.14772757065554e-05,6.90685188693261e-05,2.13871169685936e-05,40,1.28771787038635,46.6857173705855,80.6423861541955,35.4204285277012,23.0932720659603,40.4893717049152,17.3220320064226
739115.009027778,0.000272357621355435,0.000425518711582874,0.000157468467702287,0.00184133018356357,0.00287680749820512,0.00106459823336954,1.71358054202871e-05,4.25459746806808e-05,2.39288169284433e-05,40,1.29742762034672,46.3507210194042,77.7749676515522,35.2151940745742,22.9216524662589,39.0203849118808,17.2168898024363
739115.009722222,0.00027362734266116,0.00040700070331303,0.000162300946272765,0.00184991439777908,0.00275161266283737,0.00109726920695552,1.9439667516079e-05,3.39391131787635e-05,3.14018287377477e-05,40,1.27431067839903,46.5539393722991,74.5104160501287,36.2111968436022,23.0257618162647,37.3479456836169,17.7271449019898
739115.010416667,0.000270063038966884,0.00041125885914575,0.000166110924843243,0.00182581718345112,0.00278040080844565,0.00112302735723469,2.20833172609913e-05,5.03682138491775e-05,2.87197232713952e-05,40,1.20426578120669,45.9834740877502,75.2610890836564,36.9964562401603,22.7335108008952,37.7325176500469,18.1294355622428
739115.011111111,0.000273014160274062,0.000417721059249225,0.000156526153418201,0.00184576885108289,0.00282408985244427,0.00105822752222492,2.64655642020214e-05,3.98018349876407e-05,1.9999615818065e-05,40,1.31940804397123,46.4557997930321,76.4003145008345,35.0209774582859,22.9754846259333,38.3161461265253,17.1173920681319
739115.011805556,0.000266507406579786,0.000426130206714873,0.000159313631988679,0.00180177859329367,0.00288094163786329,0.00107707284919728,2.15062467936434e-05,6.21237666012641e-05,3.37843877654086e-05,40,1.23538031969715,45.414396642213,77.882768522107,35.5954934823741,22.4419707794657,39.0756116096847,17.4117182890844
739115.0125,0.000266591525321408,0.00040371143947067,0.000179593725943772,0.00180234729549184,0.00272937491246894,0.00121418063028003,2.01910673628814e-05,3.71666223186643e-05,0.000135786189325826,39,1.04374889433486,45.4278598108964,73.9305496094399,39.7753422785632,22.448867999725,37.0508784287637,19.5530669177628
739115.013194444,0.000274301224192688,0.000418690754283997,0.000182556864775141,0.00185447031362963,0.0028306456768324,0.00123421354487641,2.01520007330491e-05,4.09520751406158e-05,6.72370643021008e-05,40,1.06446826355002,46.6617938237178,76.5712626628899,40.38606293423,23.0810159637001,38.4037233644212,19.8659408761965
739115.013888889,0.000289022145498413,0.000426668858834666,0.000164813067704594,0.00195399415509658,0.00288458330723049,0.00111425292488558,4.03653995038998e-05,3.65018240172743e-05,2.24844891396115e-05,40,1.34332571338081,49.0178709938478,77.977727851137,36.7289601126463,24.2880411130113,39.1242595486207,17.9923965223734
739115.014583333,0.000288610466804137,0.000458531701846872,0.000180177296275071,0.00195121091590566,0.00309999866546626,0.00121812597853173,3.37109703693325e-05,6.08773369744804e-05,4.79356967512611e-05,40,1.16631936066438,48.9519819945882,83.5948489618774,39.8956196181146,24.2542859881039,42.0019269414151,19.6146853467224
739115.015277778,0.000285466513111315,0.000464802483326866,0.00016875202485003,0.00192995556493913,0.00314239358416243,0.0011408830615697,1.97714841792445e-05,6.9911569455539e-05,2.2174848699761e-05,40,1.24678466891005,48.4487935483105,84.7003290666696,37.5408027657943,23.9965010915818,42.5682675967485,18.4083058618706
739115.015972222,0.000280430984417039,0.000464733049415996,0.000181048753420508,0.00189591182888054,0.00314192416180806,0.00122401764529541,1.79657013753533e-05,6.27396589063663e-05,4.42858458538534e-05,40,1.09943101380731,47.6428593306265,84.6880885178146,40.0752321538528,23.5836186606632,42.5619967281638,19.706701368318
739115.016666667,0.000281517476237037,0.000440689953972913,0.000163603840969826,0.00190325728215775,0.0029793758287549,0.00110607769676302,1.90228325797383e-05,3.78501948186278e-05,2.30198877447439e-05,39,1.2883994141439,47.8167518825577,80.4495157410807,36.4797312420685,23.6727043180092,40.3905636343906,17.8647158510712
739115.017361111,0.000285072177029941,0.000441675740574864,0.000175580710565944,0.00192728957407944,0.00298604044352019,0.00118704980755685,2.35487484527211e-05,3.88719898228312e-05,3.06683511420859e-05,40,1.19647750031162,48.3856802268419,80.6233006958752,38.9482357802775,23.9641679544354,40.4795941694122,19.1293378662503
