dt,betap_1,betap_2,betap_3,bbp_1,bbp_2,bbp_3,betap_sd_1,betap_sd_2,betap_sd_3,betap_n,gamma_bbp,poc_1,poc_2,poc_3,cphyto_1,cphyto_2,cphyto_3
739100,0.000311064462313693,0.000420449856577845,0.000314179200179011,0.00210301580929394,0.00284253845271111,0.00212407364059954,4.50510836652499e-05,4.2991187972222e-05,3.1686272530943e-05,20,0.123457267800607,52.5457343895347,76.8813759389381,67.514214382034,26.0953757351169,38.5625952927565,33.7637713322406
739100.000694444,0.000237482093523776,0.000336207052960554,0.00024988625869487,0.0016055469448036,0.00227299750769712,0.00168940787594911,3.20921505990169e-05,2.93255183482081e-05,3.03061414044818e-05,39,0.040471375968998,40.7689076794707,62.0301578462729,54.2630541723717,20.062073346578,30.9542733061029,26.975163627285
739100.001388889,0.000200259999730318,0.000299618126263847,0.000220893163361722,0.00135389926020335,0.00202563048056731,0.0014933940420561,3.0820084483526e-05,3.68369767414143e-05,1.88578542995882e-05,40,-0.0494860901569835,34.8115274591785,55.5798723997211,48.2874036209295,17.0100902277462,27.6497734141089,23.9138205649573
739100.002083333,0.000185946980940402,0.000273593261108094,0.000204107144954505,0.00125713312828963,0.00184968398237139,0.00137990868335293,2.08010801606993e-05,2.53293076492583e-05,2.55597202081074e-05,40,-0.0471030733558775,32.5207349125564,50.9919321643019,44.8277047167932,15.8365105798966,25.299358360691,22.1414068090417
739100.002777778,0.000200007587150484,0.000279705195952341,0.000220961376547287,0.0013521927726094,0.0018910049854433,0.00149385521144387,3.35279789073358e-05,3.40027876658781e-05,4.20453944375424e-05,40,-0.095706396512916,34.7711289335394,52.0694090933988,48.3014627669176,16.9893939462068,25.8513529081153,23.9210231061137
739100.003472222,0.000223736243357027,0.000329167130794096,0.000247222608137217,0.00151261527399221,0.00222540265387763,0.0016713997139382,2.21931201706588e-05,3.71509996733528e-05,2.69891949634717e-05,40,-0.0644388108102501,38.5688902288435,60.7890854346231,53.7140598431774,18.9349980429775,30.3184683197599,26.6939122444492
739100.004166667,0.00023107124956711,0.000329845865638343,0.000253954089729999,0.00156220510468626,0.00222999138155534,0.00171690929129171,1.83556688764368e-05,1.98139515954813e-05,2.25768397893015e-05,40,-0.0689398790416219,39.742854841209,60.9087400373449,55.1014585058494,19.536423509635,30.3797677188403,27.4046805924459
739100.004861111,0.000218229455777193,0.000319080200482589,0.000236247821322781,0.00147538549450317,0.00215720786957292,0.00159720239161241,1.9803574537702e-05,3.13921923367911e-05,2.06019122675709e-05,40,-0.0149110203761325,37.687531227722,59.0108539951491,51.4520905664902,18.4834752773344,29.4074752097072,25.5350988411599
739100.005555556,0.00020025723634271,0.00028998156096537,0.0002207176426563,0.00135388057774832,0.00196048048233462,0.00149220739792576,2.20434614675581e-05,2.62063541646834e-05,2.6399467599805e-05,39,-0.0676166664382286,34.8110851801716,53.881036098379,48.2512277525687,17.0098636469316,26.779454662975,23.8952875629558
739100.00625,0.000189813593193819,0.000279399670168591,0.000217604284505493,0.0012832741623276,0.00188893941501911,0.00147115889446624,2.0835913214917e-05,2.10141357048935e-05,4.81481437846136e-05,40,-0.161016007708489,33.1395845529304,52.015547756257,47.6095459956906,16.1535490407092,25.8237595893013,23.5665521428153
739100.006944444,0.000186639849400361,0.000273836005010346,0.000207669016095422,0.00126181740920754,0.00185132510286535,0.00140398945189943,2.10904002323451e-05,1.77683448218042e-05,2.16066210200179e-05,40,-0.0842706565451078,32.6316282137644,51.03472564313,45.5618276865148,15.8933215388691,25.3212815836766,22.5175001299121
739100.007638889,0.000191662930610445,0.000281335139854593,0.000213991497688205,0.00129577699146776,0.0019020245592294,0.00144673389993021,2.18007680774829e-05,2.51418674930902e-05,2.81992000989215e-05,40,-0.0929710785276017,33.4355702169176,52.356752953429,46.8649290001989,16.305183352521,25.9985599987631,23.1850827021885
739100.008333333,0.000199418286820527,0.00029357387469884,0.000215303729280987,0.00134820868551342,0.00198476706434158,0.00145560551375761,2.29444312117686e-05,8.90044285002986e-05,2.12604561130735e-05,40,-0.00402238412681883,34.6768116673217,54.5143273995019,47.1353877887804,16.9410749379068,27.1038916283623,23.3236395218924
739100.009027778,0.00017396599302707,0.000255064209540595,0.000196574960870917,0.00117613317475817,0.00172441448649958,0.00132898579075221,2.17268715705885e-05,2.25977188570878e-05,3.29059569340294e-05,40,-0.125299858548665,30.6031829121102,47.7254337328242,43.2752764763632,14.8541431434671,23.625921765759,21.3460933310046
