stn,lat,lon,dt,trt,bact_cells,sd_bact_cells,boc,mean_toc,sd_toc
8,34.37358,-119.9131,2023-08-11T15:30:00Z,Low Temp. Ash,803466,287860,2.492166593787684,71.31025641025641,0.176282051282044
8,34.37358,-119.9131,2023-08-06T16:00:00Z,Thomas Fire Ash,217324,21002,1.1464331483445904,74.88970438328236,0.9806664456580982
8,34.37358,-119.9131,2023-08-07T15:30:00Z,Thomas Fire Ash,518948,171632,2.3529322383672144,74.35275229357799,0.7698921007245847
8,34.37358,-119.9131,2023-08-08T15:30:00Z,Thomas Fire Ash,926887,221163,3.50093493481918,73.4401630988787,0.1440991227149519
8,34.37358,-119.9131,2023-08-09T15:30:00Z,Thomas Fire Ash,1039152,268514,3.7413389100595538,72.30560652395515,0.4980236011968777
8,34.37358,-119.9131,2023-08-10T15:00:00Z,Thomas Fire Ash,988143,118174,3.3867081044556646,71.85096839959225,0.41718561329579196
8,34.37358,-119.9131,2023-08-11T15:30:00Z,Thomas Fire Ash,784750,330253,2.5480458416559117,71.61447502548421,0.30967486912267744
14,34.29497,-120.7948,2023-08-15T17:00:00Z,Control,195257,19740,0.10914328441894382,69.81117838811478,0.7991756265796207
14,34.29497,-120.7948,2023-08-16T16:20:00Z,Control,481771,111564,0.29125497805020106,69.9345119131411,1.0544219980920377
14,34.29497,-120.7948,2023-08-17T16:20:00Z,Control,706844,111436,0.46046017093552283,68.88206583291651,0.10949106908962158
14,34.29497,-120.7948,2023-08-18T16:00:00Z,Control,742955,124276,0.6281408970950024,69.36203880114392,0.3043979920554937
14,34.29497,-120.7948,2023-08-19T15:00:00Z,Control,812570,108863,0.8402209676108001,68.85739912791124,0.43033283222433455
14,34.29497,-120.7948,2023-08-20T17:30:00Z,Control,769468,120755,0.9628276057791537,68.58298203472768,0.7552856861639461
14,34.29497,-120.7948,2023-08-15T17:00:00Z,High Temp. Ash,198164,13616,0.11076821734224936,73.30260517985958,0.7588396269590536
14,34.29497,-120.7948,2023-08-16T16:20:00Z,High Temp. Ash,475968,123793,0.46474647939160457,73.51521201746642,0.15557257819887116
14,34.29497,-120.7948,2023-08-17T16:20:00Z,High Temp. Ash,769178,138198,1.0813122100368504,71.42226329951768,0.436639169075648
14,34.29497,-120.7948,2023-08-18T16:00:00Z,High Temp. Ash,781170,149010,1.4940535333216263,70.34854535079975,1.1960368687132894
14,34.29497,-120.7948,2023-08-19T15:00:00Z,High Temp. Ash,871175,97575,2.0952550478234833,71.00773338498779,0.7649475659510218
14,34.29497,-120.7948,2023-08-20T17:30:00Z,High Temp. Ash,634586,197240,1.8863348273598126,70.42974193199633,0.39008310813386143
14,34.29497,-120.7948,2023-08-15T17:00:00Z,Low Temp. Ash,203435,14866,0.1137145611464267,72.77322536780945,0.43482802101219187
14,34.29497,-120.7948,2023-08-16T16:20:00Z,Low Temp. Ash,486879,147145,0.37985010335917296,72.80749432345638,0.7250047129150374
14,34.29497,-120.7948,2023-08-17T16:20:00Z,Low Temp. Ash,810012,146202,0.8162447321895189,71.95284733868577,0.9945774355150847
14,34.29497,-120.7948,2023-08-18T16:00:00Z,Low Temp. Ash,801765,144718,1.1254081816880372,70.23420729033175,1.053720975949602
14,34.29497,-120.7948,2023-08-19T15:00:00Z,Low Temp. Ash,893129,133734,1.597341676902863,70.52185882712575,0.7502003274596641
14,34.29497,-120.7948,2023-08-20T17:30:00Z,Low Temp. Ash,730130,234015,1.6295418180319874,68.94029460135947,1.0316701991374093
14,34.29497,-120.7948,2023-08-15T17:00:00Z,Thomas Fire Ash,195217,18085,0.10912092552079031,73.89762918398682,0.47959868419132334
14,34.29497,-120.7948,2023-08-16T16:20:00Z,Thomas Fire Ash,505688,144063,0.5237489216190707,73.87193469960634,0.6575852600819674
14,34.29497,-120.7948,2023-08-17T16:20:00Z,Thomas Fire Ash,828209,151736,1.2639130778555476,73.4926841101504,0.35118034637801426
14,34.29497,-120.7948,2023-08-18T16:00:00Z,Thomas Fire Ash,910770,180397,1.6971506761695538,72.38884906116486,0.7914174814032443
14,34.29497,-120.7948,2023-08-19T15:00:00Z,Thomas Fire Ash,966983,91273,2.1189164713959685,71.68790352726528,0.8276279173152933
14,34.29497,-120.7948,2023-08-20T17:30:00Z,Thomas Fire Ash,692187,253063,1.7782255578391073,70.12362331818144,0.9003628905908592
15,34.26434,-119.907,2023-08-16T17:00:00Z,Control,91784,6797,0.2122454409990776,68.58565356662415,1.4824083633148024
15,34.26434,-119.907,2023-08-17T15:30:00Z,Control,169497,7508,0.30348937691353034,68.5050219461288,0.17301154810151356
15,34.26434,-119.907,2023-08-18T16:00:00Z,Control,416272,2927,0.5087766376411665,69.0663420734232,0.4047572260435226
15,34.26434,-119.907,2023-08-19T15:00:00Z,Control,577750,12354,0.592515224901565,68.54843897254938,0.6545133692462174
15,34.26434,-119.907,2023-08-20T17:30:00Z,Control,658396,32841,0.5260346494665801,68.64250919646058,0.22511782100374628
